## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectInsertSizeMetrics HISTOGRAM_FILE=alignment_metrics/lice83_insert_size_histogram.pdf INPUT=lice83.sorted.bam OUTPUT=alignment_metrics/lice83_insert_metrics.txt    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Sep 29 01:37:19 PDT 2017

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
227	84	2	2577492	256.118255	140.919062	14274128	FR	33	67	99	133	169	207	251	313	443	967			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	334
3	1031
4	4726
5	610
6	83
7	98
8	96
9	222
10	95
11	104
12	92
13	125
14	163
15	209
16	252
17	259
18	258
19	22521
20	19646
21	14276
22	14773
23	9252
24	9175
25	12163
26	9063
27	8452
28	7734
29	6781
30	5556
31	5035
32	10497
33	6809
34	8345
35	11573
36	4417
37	9379
38	7854
39	4035
40	3521
41	3561
42	5649
43	3866
44	4064
45	4648
46	4521
47	5105
48	5400
49	5863
50	5706
51	5750
52	7092
53	6217
54	6471
55	6814
56	7448
57	8015
58	8522
59	9280
60	9658
61	9889
62	9957
63	10146
64	10746
65	11049
66	11972
67	12720
68	13259
69	14256
70	14764
71	15039
72	15139
73	15688
74	15797
75	16749
76	16977
77	18156
78	19170
79	20353
80	20662
81	21596
82	21468
83	21914
84	22027
85	23210
86	23952
87	24403
88	25359
89	26561
90	27389
91	28372
92	28215
93	28748
94	28936
95	29711
96	30002
97	30573
98	31866
99	32533
100	34075
101	34772
102	35015
103	35564
104	35472
105	35470
106	35579
107	36041
108	37841
109	39116
110	39624
111	40932
112	40863
113	41996
114	41769
115	40850
116	41229
117	41777
118	42417
119	43857
120	43987
121	44932
122	44953
123	45676
124	46159
125	45859
126	45315
127	45297
128	45465
129	47461
130	47203
131	47724
132	48247
133	49078
134	49347
135	48568
136	48659
137	47925
138	48163
139	49657
140	49448
141	50199
142	50257
143	50432
144	50699
145	49912
146	50387
147	50111
148	49696
149	49833
150	50481
151	50805
152	50599
153	52368
154	52176
155	51191
156	51029
157	50894
158	50946
159	50624
160	50289
161	51269
162	51371
163	51397
164	51397
165	51228
166	51018
167	50945
168	50862
169	50366
170	50533
171	50361
172	51365
173	50965
174	51359
175	50874
176	50731
177	50774
178	50339
179	49921
180	50016
181	49863
182	50173
183	50175
184	50564
185	50112
186	50093
187	49868
188	49566
189	49287
190	48762
191	48561
192	48766
193	49040
194	49066
195	48834
196	48879
197	48325
198	48026
199	47466
200	47710
201	47409
202	47638
203	47454
204	47526
205	46606
206	47196
207	47067
208	46634
209	46834
210	45910
211	46063
212	46189
213	45666
214	45611
215	45204
216	45263
217	46324
218	44999
219	45251
220	44574
221	44961
222	44412
223	44024
224	44258
225	43931
226	43721
227	44091
228	43924
229	43533
230	42865
231	42637
232	42596
233	42944
234	42160
235	42371
236	41893
237	41977
238	42304
239	41631
240	41417
241	41403
242	40695
243	40686
244	40663
245	40396
246	39820
247	39492
248	40006
249	39883
250	39558
251	39032
252	38917
253	39058
254	38229
255	38612
256	38027
257	38447
258	37800
259	38000
260	37795
261	37482
262	37349
263	37102
264	36743
265	36594
266	36228
267	36957
268	36367
269	35948
270	35625
271	35722
272	35601
273	35840
274	34890
275	35055
276	35221
277	35028
278	34198
279	34329
280	34371
281	33863
282	34238
283	33629
284	33375
285	33637
286	33279
287	33138
288	32675
289	32715
290	32507
291	32418
292	32166
293	32018
294	32008
295	31663
296	31474
297	31309
298	31440
299	31167
300	30839
301	30938
302	30998
303	30347
304	30027
305	30081
306	29876
307	29874
308	29521
309	29397
310	29029
311	29079
312	28575
313	28892
314	28750
315	28462
316	28293
317	28139
318	28249
319	28006
320	27522
321	27443
322	27361
323	27349
324	26669
325	26945
326	27015
327	26632
328	26662
329	26272
330	25897
331	25803
332	25667
333	25679
334	25190
335	25256
336	25572
337	25113
338	25089
339	25078
340	24792
341	24263
342	24238
343	24432
344	23873
345	23934
346	23571
347	23691
348	23384
349	23267
350	23157
351	22846
352	22904
353	22999
354	22838
355	22134
356	22134
357	22447
358	22050
359	21923
360	21918
361	21373
362	21392
363	21340
364	21132
365	21426
366	21060
367	20642
368	20861
369	20744
370	20378
371	20262
372	20361
373	20137
374	19894
375	19779
376	19559
377	19184
378	19315
379	19173
380	19059
381	18961
382	19135
383	18696
384	18480
385	18565
386	18676
387	18136
388	18091
389	17981
390	17848
391	17716
392	17513
393	17620
394	17296
395	17045
396	17110
397	16813
398	16918
399	16730
400	16676
401	16385
402	16477
403	16156
404	16024
405	15983
406	15931
407	15833
408	15773
409	15640
410	15421
411	15505
412	15134
413	14926
414	14694
415	14686
416	14819
417	14812
418	14774
419	14385
420	14299
421	14346
422	13994
423	13912
424	13927
425	13863
426	13662
427	13726
428	13558
429	13409
430	13148
431	13243
432	13180
433	12991
434	13203
435	12837
436	12692
437	12598
438	12420
439	12437
440	12320
441	11931
442	12297
443	12041
444	12112
445	12271
446	11699
447	11660
448	11666
449	11677
450	11429
451	11610
452	11215
453	11098
454	11240
455	10941
456	11046
457	10966
458	11066
459	10748
460	10707
461	10648
462	10658
463	10599
464	10183
465	10345
466	10053
467	10248
468	10203
469	10107
470	9855
471	9886
472	9865
473	9686
474	9637
475	9489
476	9531
477	9368
478	9127
479	9302
480	9309
481	9106
482	8960
483	8940
484	8777
485	8804
486	8686
487	8562
488	8919
489	8413
490	8655
491	8458
492	8278
493	8271
494	8165
495	8212
496	8033
497	7879
498	7947
499	7781
500	8008
501	7670
502	7533
503	7518
504	7512
505	7407
506	7347
507	7473
508	7243
509	7158
510	7091
511	7104
512	7151
513	7012
514	6776
515	6901
516	6958
517	6748
518	6780
519	6696
520	6703
521	6870
522	6659
523	6426
524	6618
525	6288
526	6503
527	6127
528	6092
529	5991
530	6211
531	6185
532	6026
533	6063
534	5935
535	5817
536	5895
537	5735
538	5689
539	5594
540	5801
541	5658
542	5495
543	5297
544	5414
545	5323
546	5406
547	5335
548	5387
549	5219
550	5241
551	5148
552	5095
553	5031
554	4887
555	4946
556	5094
557	4962
558	5025
559	4915
560	4750
561	4656
562	4794
563	4621
564	4726
565	4640
566	4530
567	4668
568	4523
569	4548
570	4496
571	4449
572	4293
573	4477
574	4353
575	4240
576	4026
577	4221
578	4102
579	4099
580	4010
581	4096
582	3941
583	3983
584	3942
585	3930
586	3817
587	3844
588	3896
589	3774
590	3598
591	3653
592	3610
593	3646
594	3593
595	3516
596	3538
597	3546
598	3576
599	3334
600	3472
601	3378
602	3282
603	3288
604	3351
605	3252
606	3362
607	3276
608	3104
609	3190
610	3274
611	3192
612	3093
613	3118
614	2919
615	3003
616	2991
617	2927
618	3009
619	2898
620	2867
621	2918
