## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectInsertSizeMetrics HISTOGRAM_FILE=alignment_metrics/lice88_insert_size_histogram.pdf INPUT=lice88.sorted.bam OUTPUT=alignment_metrics/lice88_insert_metrics.txt    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Sep 29 01:42:26 PDT 2017

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
175	60	2	1517541	194.27524	103.180256	114946	FR	23	47	71	95	121	149	185	239	317	709			
315	171	29	1479789	424.716041	372.792556	6547	TANDEM	73	143	211	275	343	411	483	847	1963	11087			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count	All_Reads.tandem_count
2	3	0
3	7	0
4	19	0
5	8	0
7	1	0
8	1	0
9	1	0
10	1	0
11	2	0
12	2	0
14	2	0
15	3	0
16	4	0
17	5	0
18	2	0
19	558	0
20	389	0
21	202	0
22	259	0
23	130	0
24	121	0
25	238	0
26	107	0
27	134	0
28	99	0
29	87	1
30	79	1
31	84	0
32	231	2
33	139	0
34	184	1
35	349	1
36	63	0
37	88	0
38	142	1
39	58	0
40	65	1
41	70	2
42	129	0
43	60	1
44	64	1
45	83	0
46	72	0
47	87	1
48	75	4
49	105	2
50	83	2
51	98	1
52	86	1
53	113	1
54	100	1
55	110	2
56	96	4
57	131	1
58	115	4
59	144	7
60	164	5
61	129	5
62	159	4
63	166	9
64	168	8
65	152	7
66	187	9
67	193	6
68	201	4
69	199	9
70	215	1
71	247	11
72	232	4
73	227	7
74	233	6
75	240	11
76	242	9
77	239	8
78	268	12
79	292	9
80	259	8
81	289	6
82	332	8
83	344	14
84	339	12
85	333	13
86	349	7
87	357	6
88	376	17
89	379	15
90	355	12
91	415	8
92	371	11
93	388	12
94	379	19
95	382	22
96	419	19
97	439	19
98	446	31
99	423	14
100	461	17
101	441	18
102	505	17
103	461	13
104	491	19
105	467	15
106	442	17
107	467	11
108	462	18
109	447	13
110	514	19
111	532	12
112	534	10
113	492	11
114	546	21
115	522	17
116	577	10
117	487	18
118	499	14
119	521	12
120	509	13
121	515	11
122	554	16
123	504	18
124	615	21
125	547	10
126	541	16
127	523	8
128	534	12
129	596	13
130	564	14
131	478	20
132	562	9
133	580	12
134	571	26
135	522	12
136	524	13
137	606	11
138	594	19
139	558	17
140	574	15
141	543	22
142	587	21
143	555	14
144	570	12
145	550	22
146	576	14
147	578	16
148	601	14
149	536	8
150	536	8
151	566	20
152	525	15
153	535	10
154	528	14
155	529	14
156	481	15
157	576	25
158	539	15
159	502	13
160	559	21
161	579	10
162	547	13
163	540	16
164	526	12
165	562	15
166	548	17
167	538	16
168	533	13
169	526	7
170	535	15
171	525	14
172	491	15
173	522	10
174	512	15
175	511	17
176	508	21
177	526	18
178	490	14
179	513	9
180	490	17
181	487	15
182	464	10
183	469	8
184	479	10
185	501	13
186	469	14
187	475	14
188	494	13
189	473	17
190	460	12
191	437	16
192	456	21
193	411	14
194	452	7
195	448	19
196	431	13
197	464	8
198	423	14
199	445	12
200	429	15
201	437	14
202	412	14
203	441	26
204	382	17
205	419	16
